Treatments,Inhibition_mg_protein,Block
CT,1960,1
CT,4350,2
CT,2510,3
CT,6390,4
CT,1810,5
CT,4030,6
CT,2350,7
CT,3250,8
CT,2560,9
MU,3810,1
MU,612,2
MU,2460,3
MU,2530,4
MU,2340,5
MU,234,7
MU,2160,8
MU,5930,9
PT,2680,1
PT,1750,2
PT,4680,3
PT,3180,4
PT,2870,5
PT,1820,6
PT,4080,7
PT,2590,8
PT,3030,9
WT,4810,1
WT,6360,2
WT,3020,3
WT,1970,4
WT,2210,5
WT,3020,6
WT,2870,7
WT,3090,8
WT,2600,9
