Treatments,Inhibition_mg_protein,Block
CT,5980,1
CT,9870,2
CT,5240,3
CT,3880,4
CT,5010,5
CT,3010,6
CT,1840,7
CT,4380,8
CT,5360,9
CT,4010,10
MU,3370,1
MU,4390,3
MU,10300,4
MU,5270,5
MU,6290,6
MU,2680,8
MU,8920,9
MU,7020,10
PT,4580,1
PT,8400,3
PT,8080,4
PT,6840,5
PT,6110,6
PT,8500,7
PT,3280,8
PT,5070,9
PT,3290,10
WT,1520,1
WT,9520,2
WT,10400,3
WT,5050,4
WT,6620,5
WT,7340,6
WT,8440,7
WT,7050,8
WT,6080,9
WT,7360,10
